Total				$389.71	
Q	Source	Part	Unit	Sum	Notes
2	Boca	R24-2RS	$19.95	$39.90	Vertical Bearing
2	Boca	LM67048	$13.80	$27.60	Horizontal Bearing
2	Boca	L44610	$5.25	$10.50	Confirm mate to LM67048
2	Aliexpress	16kg-m motor & gearbox	$78.00	$156.00	Geared Stepper Motors
1	OnlineMetals	AL Round 6061 1.25 x 12" 	$6.86	$6.86	Horizontal Axle
1	OnlineMetals	AL Round 6061 1.5 x 12" 	$9.87	$9.87	Vertical Axle
1	OnlineMetals	AL Round 6061 2.625 x 10"	$27.15	$27.15	Vertical Motor Mount
1	OnlineMetals	AL Round 6061 2 x 10"	$15.76	$15.76	Horizontal Blocks
1	OnlineMetals	AL Tube 6061 2.5" OD, 2" ID	$39.70	$39.70	Mast
1	OnlineMetals	AL Tube 6061 3" OD, 2.625" ID	$19.92	$19.92	Head
1	OnlineMetals	AL Tube 2.75" OD, 0.25" Wall	$20.73	$20.73	Head bearing spacer
1	OnlineMetals	AL Sq Tube 6061 1 x 36"	$7.97	$7.97	Antenna mount and counter balance shaft
1	theoringstore	TR-023 Hydraulic Rod T-Seal Buna-N	$7.75	$7.75	1.5" ID x 1.875" OD x 0.28" H: head seal fit to 1.875 OD by notch